Nifflenzini,Niffler,20,0.3,0.2,False,False,21,11,satisfecha,arisca,1,5
Augurinto,Augurey,24,0.2,0.3,False,False,43,18,satisfecha,inofensiva,1,0
Franky,Niffler,15,0.3,0.2,False,False,28,28,satisfecha,arisca,0,8
Trirboy,Erkling,45,0.5,0.3,False,False,55,24,satisfecha,peligrosa,1,0
Riny,Augurey,24,0.2,0.3,False,False,35,16,hambrienta,inofensiva,4,0
Felie,Niffler,19,0.3,0.2,False,True,21,19,satisfecha,arisca,0,9
Louice,Erkling,45,0.5,0.3,False,False,50,45,hambrienta,peligrosa,3,0
Kona,Niffler,14,0.3,0.2,False,False,22,16,hambrienta,arisca,3,9
Vemher,Augurey,20,0.2,0.3,False,False,35,16,satisfecha,inofensiva,2,0
Mlaino,Erkling,36,0.5,0.3,False,True,52,19,satisfecha,peligrosa,1,0
Zience,Augurey,22,0.2,0.3,True,False,36,25,satisfecha,inofensiva,1,0
Hermerda,Niffler,12,0.3,0.2,True,False,30,13,hambrienta,arisca,4,9
Wilie,Augurey,20,0.2,0.3,False,False,43,38,hambrienta,inofensiva,4,0
Luna,Erkling,34,0.5,0.3,False,False,53,13,satisfecha,peligrosa,0,0
Maisie,Augurey,21,0.2,0.3,False,True,38,24,satisfecha,inofensiva,1,0
Cededatie,Augurey,21,0.2,0.3,False,True,42,10,satisfecha,inofensiva,2,0
Stasthe,Augurey,20,0.2,0.3,False,False,36,12,satisfecha,inofensiva,2,0
Maita,Erkling,32,0.5,0.3,False,False,54,15,hambrienta,peligrosa,4,0
Deery,Niffler,18,0.3,0.2,False,False,20,20,satisfecha,arisca,0,7
Zoey,Niffler,14,0.3,0.2,False,False,26,19,satisfecha,arisca,1,5
ApemmorOvio,Augurey,23,0.2,0.3,False,False,38,20,satisfecha,inofensiva,1,0
Jade,Niffler,15,0.3,0.2,True,True,21,15,satisfecha,arisca,1,9
Nazolo,Niffler,14,0.3,0.2,False,False,30,16,satisfecha,arisca,1,10
Pmey,Niffler,19,0.3,0.2,False,False,29,22,hambrienta,arisca,2,5
Duhe,Niffler,14,0.3,0.2,False,False,21,12,satisfecha,arisca,1,9
JoeFrane,Niffler,15,0.3,0.2,False,False,21,13,hambrienta,arisca,5,6
Anglu,Niffler,12,0.3,0.2,False,False,20,17,hambrienta,arisca,4,7
Bien,Augurey,25,0.2,0.3,False,True,40,27,satisfecha,inofensiva,0,0
Kito,Erkling,45,0.5,0.3,False,False,60,26,hambrienta,peligrosa,2,0
Zoe,Augurey,23,0.2,0.3,False,False,41,28,satisfecha,inofensiva,0,0
Milo,Niffler,11,0.3,0.2,True,True,24,14,satisfecha,arisca,0,8
Pottie,Augurey,23,0.2,0.3,False,True,40,37,hambrienta,inofensiva,3,0
Manta,Augurey,25,0.2,0.3,False,False,36,12,satisfecha,inofensiva,1,0
Cleo,Niffler,20,0.3,0.2,False,False,27,20,satisfecha,arisca,1,7
Lira,Niffler,14,0.3,0.2,False,False,30,27,satisfecha,arisca,1,10
Pjacebe,Erkling,34,0.5,0.3,False,False,59,33,satisfecha,peligrosa,0,0
Hoke,Erkling,43,0.5,0.3,False,False,54,32,satisfecha,peligrosa,1,0
Jokip,Niffler,12,0.3,0.2,False,False,21,17,satisfecha,arisca,0,5
Bella,Erkling,31,0.5,0.3,True,False,50,26,hambrienta,peligrosa,3,0
